name,latitude,longitude,type,volcano_number
Adamozhets,54.688,159.483,Minor | Cone,300847
Acquasparta,42.65,12.3,Cluster | Volcanic field,211804
Acatlan Volcanic Field,20.45,-103.57,Caldera | Volcanic field,341822
Acotango,-18.37,-69.05,Composite | Stratovolcano(es),355813
Addington Volcanic Field,55.44,-134.17,Cluster | Volcanic field,315055
Aguas Delgadas,-24.45,-68.4,Composite | Stratovolcano,355857
"Ahon, Tarso",20.539,18.29,Cluster | Volcanic field,225819
Aird Hills,-7.45,144.35,Minor | Lava dome(s),253814
"Aguajito, El",27.554,-112.552,Caldera | Caldera,341802
Aitutaki,-18.9,-159.77,Shield | Shield,333805
Aizu Nunobiki,37.321,140.018,Composite | Stratovolcano,283866
Akaigawa,43.08,140.82,Composite | Stratovolcano,285810
Akhtang,55.43,158.65,Shield | Shield,300320
Albuquerque Volcanic Field,35.12,-106.75,Cluster | Volcanic field,327816
Aldama Volcanic Field,23.2,-98.02,Cluster | Volcanic field,341836
Akhuryan Valley,41.067,43.75,Cluster | Volcanic field,214802
Alicudi,38.55,14.33,Composite | Stratovolcano,211818
Aegina,37.75,23.5,Cluster | Volcanic field,212802
Alexander Selkirk,-33.763,-80.811,Shield | Shield,356801
Ali Mela,12.718,41.396,Minor | Cone,221803
Alngey,57.702,160.418,Composite | Stratovolcano,300600
Alto,11.108,124.75,Composite | Compound,272802
Altar,-1.67,-78.42,Composite | Stratovolcano,352824
"Alutate, Cerro",14.647,-90.144,Composite | Stratovolcano,342807
Alice Arm,55.43,-129.37,Cluster | Volcanic field,320808
Amasing,-0.5249,127.4956,Composite | Stratovolcano(es),268072
Amboy,34.55,-115.78,Minor | Pyroclastic cone,323826
Ambre,-12.6,49.15,Cluster | Volcanic field,233011
Amorong Group,15.825,120.742,Cluster | Volcanic field,273085
Amiata,42.9,11.63,Minor | Lava dome(s),211800
Ampiro,8.388,123.63,Composite | Stratovolcano?,271805
"Ananopa, Cerro",14.9,-89.93,Cluster | Volcanic field,342812
"Anallajsi, Nevado",-17.92,-68.92,Composite | Stratovolcano,355806
Anaun,56.32,158.83,Composite | Stratovolcano,300390
Adare Peninsula,-71.7,170.6,Shield | Shield(s),390811
